id;descripcion;estado
309;Australia/Eucla;1
310;Australia/Hobart;1
311;Australia/Lindeman;1
312;Australia/Lord_Howe;1
313;Australia/Melbourne;1
314;Australia/Perth;1
315;Australia/Sydney;1
316;Europe/Amsterdam;1
317;Europe/Andorra;1
318;Europe/Astrakhan;1
319;Europe/Athens;1
320;Europe/Belgrade;1
321;Europe/Berlin;1
322;Europe/Bratislava;1
323;Europe/Brussels;1
324;Europe/Bucharest;1
325;Europe/Budapest;1
326;Europe/Busingen;1
327;Europe/Chisinau;1
328;Europe/Copenhagen;1
329;Europe/Dublin;1
330;Europe/Gibraltar;1
331;Europe/Guernsey;1
332;Europe/Helsinki;1
333;Europe/Isle_of_Man;1
334;Europe/Istanbul;1
335;Europe/Jersey;1
336;Europe/Kaliningrad;1
337;Europe/Kiev;1
338;Europe/Kirov;1
339;Europe/Lisbon;1
340;Europe/Ljubljana;1
341;Europe/London;1
342;Europe/Luxembourg;1
343;Europe/Madrid;1
344;Europe/Malta;1
345;Europe/Mariehamn;1
346;Europe/Minsk;1
347;Europe/Monaco;1
348;Europe/Moscow;1
349;Europe/Oslo;1
350;Europe/Paris;1
351;Europe/Podgorica;1
352;Europe/Prague;1
353;Europe/Riga;1
354;Europe/Rome;1
355;Europe/Samara;1
356;Europe/San_Marino;1
357;Europe/Sarajevo;1
358;Europe/Saratov;1
359;Europe/Simferopol;1
360;Europe/Skopje;1
361;Europe/Sofia;1
362;Europe/Stockholm;1
363;Europe/Tallinn;1
364;Europe/Tirane;1
365;Europe/Ulyanovsk;1
366;Europe/Uzhgorod;1
367;Europe/Vaduz;1
368;Europe/Vatican;1
369;Europe/Vienna;1
370;Europe/Vilnius;1
371;Europe/Volgograd;1
372;Europe/Warsaw;1
373;Europe/Zagreb;1
374;Europe/Zaporozhye;1
375;Europe/Zurich;1
376;Indian/Antananarivo;1
377;Indian/Chagos;1
378;Indian/Christmas;1
379;Indian/Cocos;1
380;Indian/Comoro;1
381;Indian/Kerguelen;1
382;Indian/Mahe;1
383;Indian/Maldives;1
384;Indian/Mauritius;1
385;Indian/Mayotte;1
386;Indian/Reunion;1
387;Pacific/Apia;1
388;Pacific/Auckland;1
389;Pacific/Bougainville;1
390;Pacific/Chatham;1
391;Pacific/Chuuk;1
392;Pacific/Easter;1
393;Pacific/Efate;1
394;Pacific/Enderbury;1
395;Pacific/Fakaofo;1
396;Pacific/Fiji;1
397;Pacific/Funafuti;1
398;Pacific/Galapagos;1
399;Pacific/Gambier;1
400;Pacific/Guadalcanal;1
401;Pacific/Guam;1
402;Pacific/Honolulu;1
403;Pacific/Kiritimati;1
404;Pacific/Kosrae;1
405;Pacific/Kwajalein;1
406;Pacific/Majuro;1
407;Pacific/Marquesas;1
408;Pacific/Midway;1
409;Pacific/Nauru;1
410;Pacific/Niue;1
411;Pacific/Norfolk;1
412;Pacific/Noumea;1
413;Pacific/Pago_Pago;1
414;Pacific/Palau;1
415;Pacific/Pitcairn;1
416;Pacific/Pohnpei;1
417;Pacific/Port_Moresby;1
418;Pacific/Rarotonga;1
419;Pacific/Saipan;1
420;Pacific/Tahiti;1
421;Pacific/Tarawa;1
422;Pacific/Tongatapu;1
423;Pacific/Wake;1
424;Pacific/Wallis;1
